country,st_conn_rate [%],end_conn_rate [%],grid_cost_ceiling [EUR/MWh],Label,demand_st [GWh],demand_end [GWh],gfa_st [ha],gfa_end [ha],footprint_dh_area [ha],dhPot_2020 [GWh],dhPot_2050 [GWh],supplied_heat_over_grid_lifetime [TWh],gridCost_dist_absolute [MEUR],gridCost_service_pipe_absolute [MEUR],gridCost_total_absolute [MEUR],spCostEn [EUR/MWh],spCostMet (wo. serv. pipe) [EUR/m],trench_len_dist [km],trench_len_serv [km]
AT,0.55,0.8,36.0,57,14.556569999999999,8.19417,12.335421,16.04423,42,8.006113500000001,6.5553360000000005,0.2,4.2848801100000005,2.73502892,7.019909019999999,35.13,1061.84,6.61109,5.79063
AT,0.55,0.8,36.0,58,47.88399,25.30022,40.203105,48.457074,123,26.3361945,20.240176000000005,0.642,13.80744731,8.974120560000001,22.78156792,35.49,1074.87,21.19475,18.93559
AT,0.55,0.8,36.0,59,2.7208699999999997,7.093439999999999,3.094256,13.852079000000002,29,1.4964785000000003,5.674752000000001,0.096,2.00025778,1.38657172,3.3868295,35.44,1205.99,2.8083400000000003,2.96142
AT,0.55,0.8,36.0,60,2.20796,7.13591,2.713662,13.994135,6,1.2143780000000002,5.708728,0.091,0.5644483100000001,0.23898473,0.80343304,8.79,1188.86,0.6758,0.5258400000000001
AT,0.55,0.8,36.0,61,66.07833000000001,28.06115,42.558656,43.641335999999995,150,36.34308150000001,22.44892,0.809,17.496430699999998,11.59198453,29.0884153,35.96,1115.04,26.08743,24.41378
AT,0.55,0.8,36.0,62,15.829139999999999,6.916939999999999,13.010429,13.01253,36,8.706027,5.533551999999999,0.197,4.3675233,2.67599591,7.0435192,35.74,1068.23,6.59363,5.62905
AT,0.55,0.8,36.0,63,15.218459999999999,6.38319,12.907871,12.909955,34,8.370153,5.106552,0.186,4.13761477,2.50395393,6.64156873,35.76,1066.52,6.22732,5.2884899999999995
AT,0.55,0.8,36.0,64,3.53585,6.53336,4.007169,12.908443,23,1.9447175000000003,5.226688,0.096,1.7666271100000002,1.4021303200000002,3.16875742,33.14,1064.26,2.97744,3.10733
AT,0.55,0.8,36.0,65,6.687390000000001,20.23363,7.674728,40.033908000000004,11,3.6780645000000005,16.186904000000002,0.264,1.14001977,0.58491662,1.7249363899999999,6.53,1218.66,1.41544,1.2558099999999999
AT,0.55,0.8,36.0,66,2.54541,7.2032799999999995,3.129731,14.124967999999999,41,1.3999755,5.762624,0.095,1.76170478,1.1450346299999998,2.90673941,30.57,1137.42,2.55556,2.48565
AT,0.55,0.8,36.0,67,64.49124,59.84519,54.14161899999999,112.64441399999998,332,35.470182,47.876152000000005,1.133,22.290214829999996,18.265965089999998,40.55618,35.8,1069.03,37.9372,38.96786
AT,0.55,0.8,36.0,68,8.27354,19.79578,9.525172,38.901463,68,4.550447000000001,15.836624,0.272,4.46683529,3.03276583,7.499601139999999,27.53,1112.97,6.7383500000000005,6.63791
AT,0.55,0.8,36.0,69,3.26742,9.450719999999999,3.9917540000000002,18.744657999999998,10,1.7970810000000002,7.560576,0.124,1.01793409,0.59851886,1.61645296,13.01,1085.63,1.48895,1.34737
AT,0.55,0.8,36.0,70,533.8649,221.52332,419.22324,419.290931,1244,293.62569500000006,177.218656,6.478,139.97440591,90.94608743,230.92049337,35.65,1079.57,213.90022,192.08112
AT,0.55,0.8,36.0,71,2.13571,6.43205,2.446395,12.537827,25,1.1746405000000002,5.14564,0.084,1.4822131200000002,0.88448348,2.36669661,28.26,1234.8,1.91666,1.8605399999999999
AT,0.55,0.8,36.0,72,3.3549,10.665149999999999,4.039443,21.171798000000003,8,1.8451950000000001,8.53212,0.138,0.7021620500000001,0.31196881,1.01413085,7.37,1222.61,0.82948,0.6817000000000001
AT,0.55,0.8,36.0,73,4.28008,7.59452,4.730894999999999,15.316425,14,2.3540440000000005,6.075616000000001,0.113,1.36222252,1.02135635,2.3835789,21.09,1060.47,2.2476700000000003,2.20133
AT,0.55,0.8,36.0,74,2.1158099999999997,7.0935299999999994,2.556934,13.88202,6,1.1636955,5.674824000000001,0.09,0.7152804,0.26848724,0.98376763,10.89,1289.0,0.7632000000000001,0.5749299999999999
AT,0.55,0.8,36.0,75,5.9909799999999995,7.19149,5.334314,13.550213000000001,23,3.2950390000000005,5.753192,0.123,2.43566598,1.75527897,4.19094496,34.16,1128.58,3.7134699999999996,3.7563
AT,0.55,0.8,36.0,76,84.82647999999999,46.44248,60.307635,79.28264300000001,223,46.654564,37.15398400000001,1.15,24.35452432,16.920374719999998,41.274899,35.9,1111.95,37.11932,35.62643
AT,0.55,0.8,36.0,77,10.93147,22.11466,12.839917999999999,43.956466,66,6.0123085000000005,17.691728,0.317,3.73962726,3.56656777,7.3061950499999995,23.07,962.53,7.59059,8.12684
AT,0.55,0.8,36.0,78,5.74015,13.02294,6.193396,25.321842999999998,39,3.1570825,10.418352,0.181,1.81132383,1.32581221,3.1371360299999997,17.36,1076.66,2.9137600000000003,2.913
AT,0.55,0.8,36.0,79,3.1668499999999997,7.82012,3.697568,15.266782000000001,46,1.7417675000000001,6.256096,0.107,1.87423376,1.35498654,3.22922028,30.29,1121.78,2.87865,2.95898
AT,0.55,0.8,36.0,80,5.11096,9.04971,5.678168,17.883271,11,2.8110280000000003,7.239768,0.135,1.34270922,0.6734511999999999,2.0161604,14.95,1096.06,1.83947,1.43356
AT,0.55,0.8,36.0,81,3.5213,11.66884,4.101675,22.991719,4,1.9367150000000002,9.335072,0.15,0.80495766,0.23399518,1.0389528399999999,6.95,1418.11,0.73263,0.49222000000000005
AT,0.55,0.8,36.0,82,2.6144000000000003,7.34959,2.8963080000000003,14.342628,33,1.43792,5.879672,0.097,2.0721941200000003,1.37098322,3.44317736,35.41,1233.84,2.79062,2.89831
AT,0.55,0.8,36.0,83,4.395479999999999,8.13148,4.141083,15.359159,26,2.417514,6.505184000000001,0.12,1.70168525,1.2941666200000002,2.99585188,24.99,1133.23,2.64364,2.72233
AT,0.55,0.8,36.0,84,3.99884,9.729719999999999,4.101536,18.748684,18,2.1993620000000003,7.783776,0.133,1.60943377,1.0676156499999998,2.67704942,20.16,1213.83,2.20546,2.24577
AT,0.55,0.8,36.0,85,2.47952,8.40241,3.021129,16.421945,5,1.363736,6.721928,0.107,0.66069065,0.22753155,0.88822221,8.32,1306.46,0.67987,0.49018
AT,0.55,0.8,36.0,86,4.23313,7.3406,4.957412000000001,14.694173999999999,29,2.3282215,5.87248,0.11,2.21159486,1.66640171,3.87799653,35.15,1067.31,3.6334299999999997,3.61688
AT,0.55,0.8,36.0,87,3.92673,9.4082,4.325848000000001,18.347067000000003,27,2.1597015,7.526560000000002,0.129,2.4771797999999996,1.6041408300000002,4.08132064,31.62,1187.68,3.43638,3.4460100000000002
AT,0.55,0.8,36.0,88,22.66621,44.48762,23.140735,85.951245,142,12.466415500000002,35.590096,0.642,9.24464519,6.68085007,15.925495289999999,24.8,1120.92,14.207559999999999,14.31957
AT,0.55,0.8,36.0,89,6.33592,7.4196,6.057525,14.169551,31,3.4847560000000004,5.9356800000000005,0.128,2.59256844,1.88409492,4.47666338,34.91,1089.66,4.1083,3.97754
AT,0.55,0.8,36.0,90,3.0769499999999996,7.72606,3.4494230000000003,15.042376,27,1.6923225,6.180848000000001,0.105,1.56855286,1.06636358,2.63491644,25.11,1152.17,2.2869200000000003,2.29125
AT,0.55,0.8,36.0,91,8.65953,12.672360000000001,8.684971,24.561292,52,4.7627415000000015,10.137888,0.201,3.99922968,2.8963399300000003,6.89556962,34.33,1088.68,6.33386,6.24463
AT,0.55,0.8,36.0,92,6.00603,19.514029999999998,7.297111,38.367684000000004,11,3.3033164999999998,15.611224,0.25,1.54135081,0.59965284,2.1410036299999997,8.57,1227.83,1.74373,1.31853
AT,0.55,0.8,36.0,93,3.8488,8.42222,4.31893,16.326003,33,2.1168400000000003,6.737776,0.119,2.4339163900000003,1.76442356,4.19833996,35.43,1124.55,3.73334,3.80051
AT,0.55,0.8,36.0,94,317.25538,141.30443,233.26369300000002,234.850585,787,174.49045900000002,113.043544,3.983,84.70181804,56.664350549999995,141.36616872,35.5,1085.91,130.18246000000002,119.6297
AT,0.55,0.8,36.0,95,4.46219,13.51941,5.438401,26.641577,17,2.4542045,10.815528,0.176,1.2992785,0.68904048,1.988319,11.3,1125.61,1.7664300000000002,1.53617
AT,0.55,0.8,36.0,96,3.4749,8.15461,4.08214,16.543311,28,1.9111950000000002,6.523688,0.112,1.99109672,1.43136303,3.42245973,30.48,1143.18,2.9938000000000002,3.10695
AT,0.55,0.8,36.0,97,3.0867199999999997,8.19096,3.351663,15.897468,21,1.697696,6.552768,0.11,1.18515075,0.7361467700000001,1.92129751,17.48,1167.28,1.64596,1.56754
AT,0.55,0.8,36.0,98,5.81872,17.694869999999998,7.033538,34.671927000000004,17,3.2002960000000003,14.155896,0.23,1.40267085,0.88470081,2.2873716699999997,9.97,1123.6,2.03575,1.9762
AT,0.55,0.8,36.0,99,38.089769999999994,16.49984,28.284382,28.288949,87,20.949373500000004,13.199872000000001,0.472,10.30882446,6.523074240000001,16.831898640000002,35.66,1082.97,15.54241,13.73432
AT,0.55,0.8,36.0,100,20.91498,8.6528,16.791636999999998,16.794347,43,11.503239000000002,6.9222399999999995,0.254,5.35815099,3.1244782,8.48262917,33.46,1077.06,7.87572,6.57245
AT,0.55,0.8,36.0,101,2.99234,9.68372,3.576272,19.313089,7,1.6457870000000003,7.746976,0.125,0.5173118,0.18395892000000003,0.70127073,5.63,1268.53,0.5528200000000001,0.40349
AT,0.55,0.8,36.0,102,2.04617,6.56275,2.472386,12.826956,18,1.1253935000000002,5.2502,0.084,1.37645806,0.8200531400000001,2.19651123,26.05,1242.98,1.76713,1.74826
AT,0.55,0.8,36.0,103,6.64748,18.173560000000002,8.04181,36.749767,35,3.656114,14.538848000000002,0.241,2.02571549,1.21397671,3.23969221,13.46,1095.75,2.9566,2.7003000000000004
AT,0.55,0.8,36.0,104,3.7685999999999997,6.83454,3.9214849999999997,13.240084,49,2.07273,5.467632000000001,0.101,1.8404832199999999,1.3230273300000002,3.16351058,31.24,1036.32,3.0526500000000003,2.92345
AT,0.55,0.8,36.0,105,38.66451,16.43144,26.721690999999996,26.726005999999998,87,21.265480500000002,13.145152,0.475,10.238345189999999,6.74265882,16.98100398,35.78,1101.26,15.41964,14.23567
AT,0.55,0.8,36.0,106,31.8645,12.94698,20.698027,20.701368,68,17.525475000000004,10.357584000000001,0.383,8.300554349999999,5.30135958,13.60191394,35.52,1110.81,12.24509,11.1516
AT,0.55,0.8,36.0,107,96.29198,110.18496,84.292716,208.55531399999998,488,52.960589,88.147968,1.908,31.2529777,26.85471113,58.107688859999996,30.46,1054.16,55.12221,57.55213
AT,0.55,0.8,36.0,108,32.27574,14.40663,23.372410000000002,24.328561999999998,76,17.751657,11.525304,0.404,8.71814848,5.6256657599999995,14.34381425,35.5,1097.16,13.07355,11.839780000000001
AT,0.55,0.8,36.0,109,18.814529999999998,8.249600000000001,13.623128,13.625329,45,10.347991500000001,6.59968,0.235,5.12035278,3.3023423199999997,8.42269508,35.9,1087.78,7.7430200000000005,6.95975
AT,0.55,0.8,36.0,110,7.45907,11.22143,7.154747,21.818842999999998,39,4.102488500000001,8.977144000000001,0.176,3.27279937,2.61541171,5.88821106,33.52,1108.82,5.310359999999999,5.55357
AT,0.55,0.8,36.0,111,2.57098,6.316979999999999,2.97978,12.311213,25,1.4140390000000003,5.053584,0.086,1.07263612,0.72736491,1.80000102,20.89,1066.58,1.68764,1.60676
AT,0.55,0.8,36.0,112,16.05922,11.89756,16.756721,24.750448000000002,50,8.832571,9.518048,0.252,5.45556996,3.56754254,9.02311254,35.74,1042.48,8.65543,7.51347
AT,0.55,0.8,36.0,113,3.85789,8.42577,4.068379,16.466079999999998,23,2.1218395,6.740616000000001,0.118,1.64187092,1.19539125,2.83726217,23.97,1113.18,2.5487800000000003,2.60569
AT,0.55,0.8,36.0,114,3.316,9.95214,3.910684,19.529188,20,1.8238000000000003,7.9617119999999995,0.129,1.2209039099999999,0.72993823,1.9508421299999998,15.07,1212.29,1.60922,1.5746300000000002
